uuid,day_type,quarter_hour_of_day,probability
6df8241a-8e3d-4ca4-a852-c435a9bad12e,sunday,45,0.55
2790dff2-36da-424b-ac6e-240f4a50c5a3,sunday,46,0.6277372262773723
4fc7d7d9-26af-4fb9-bfa2-0824dd576e4a,sunday,47,0.5971223021582733
842d699b-34d4-4dd1-b342-c9237fe6e5a3,sunday,48,0.6517571884984026
c244eb10-501c-4a32-a859-40535e4fa272,sunday,49,0.5909090909090909
4e33550d-6e92-46bd-8ae5-8ffe01f1b42e,sunday,50,0.6828193832599119
529c2649-48c6-42d0-b4f1-c1ff5568b21d,sunday,51,0.6147540983606558
985c891f-7279-4fc4-ac76-f44a6c901469,sunday,52,0.7224080267558528
a7ac75a7-2eef-4c80-b426-d1e42f57d41d,sunday,53,0.7181208053691275
924625dd-41cb-4ee9-9622-b4cd798e38a1,sunday,54,0.728
4133afc7-aa9f-46fd-a4b0-38ffb9ad5a74,sunday,55,0.7345679012345679
f6e83926-63bd-4f94-a6f4-20308a13eab5,sunday,56,0.8010204081632653
7fa1122b-2a2e-4103-8dbd-8dc2b6c58d82,sunday,57,0.7868020304568528
7c84bad1-fad6-4b8c-a281-97ee6d3610eb,sunday,58,0.8256578947368421
5418f5b9-23cf-4a2b-8179-4acc023629fe,sunday,59,0.75
99052310-c3a0-4b83-86c5-6b5a277f3d92,sunday,60,0.8531914893617021
b894edd0-4e5a-4c65-b8eb-afa236fe2af8,sunday,61,0.8192771084337349
8d7d357f-2b47-495d-9702-cda1c89a5790,sunday,62,0.8401253918495298
a1eedfa4-abbd-4af4-bc98-225fda21f16c,sunday,63,0.8473684210526315
a9444bec-e79d-4c20-bdd4-3725ff3315ec,sunday,64,0.9086021505376344
7ebe7741-447b-4c2c-aec0-ea04b23ad808,sunday,65,0.8877005347593583
79857465-eed7-4cdc-8ee1-483fa17eec6c,sunday,66,0.8995327102803738
1681c569-420c-4915-a9ac-494a9e19d779,sunday,67,0.8943089430894309
f61a9501-15d4-4ff9-8528-5f7ce5fe59d0,sunday,68,0.9371165644171779
e712e58d-77ca-4de4-a890-b7290454fef4,sunday,69,0.9375
fc2a1eec-8b15-4b65-ac54-dd259f0f2311,sunday,70,0.9598214285714286
f43f749e-33ed-47f5-ab9f-2bd5321b6a25,sunday,71,0.9759615384615384
472e4724-6abd-47e4-a876-7216a12c0c44,sunday,72,0.9582712369597616
3e5d33f3-90f6-4ce4-8c12-18d2b56cb5b5,sunday,73,0.9536082474226805
70527148-b2b7-458c-ac86-2d9321dd2c16,sunday,74,0.9634831460674157
8236a1a7-f385-42c7-b898-cc01b19b1007,sunday,75,0.9562043795620438
3d64a2fc-c40b-4456-a59a-a9404c65ec1a,sunday,76,0.9741784037558685
9dd37be2-0a95-4159-ae27-4cd4e7deb7ec,sunday,77,0.9705882352941176
4220106b-50f1-4745-879d-321152387587,sunday,78,0.9799196787148594
dfa8e2f9-9392-49f7-b329-a04e9563827f,sunday,79,0.9940828402366864
5d5bf1a0-8621-4f34-b4d7-9de95a500776,sunday,80,0.9715189873417721
c8b99008-0ac8-4dd3-8eee-52d845f486ff,sunday,81,0.9925373134328358
420b3014-c892-4c84-a520-0bce2bd30cbf,sunday,82,0.995
da4624d6-a1a8-4d5b-88fc-727cf7b5ad1f,sunday,83,1.0
b615381c-f558-4b2f-93fc-5740721cd957,sunday,84,0.9955947136563876
0ca29317-9b3c-4c33-a0bb-4b10524e302e,sunday,85,1.0
95f8524f-01cc-46af-8cd4-685464835fbe,sunday,86,0.992
08eeee02-6d7f-45c9-93f9-3d4d42f7eaeb,sunday,87,1.0
52f709c6-ac5a-45c9-93a8-de317a00ea77,sunday,88,1.0
caa52d97-0f5f-404b-9f67-8faaa6a9b96e,sunday,89,1.0
6dd18cda-27ab-4ec2-8d08-4d7fd849bdd4,sunday,90,1.0
28ca04b1-1a70-4a6a-96ee-ba78ae365e06,sunday,91,0.9642857142857143
e04980ca-7447-4d50-ad62-96014d37f503,sunday,92,1.0
8291a01c-3085-440c-aa53-f3159fe509fc,sunday,93,1.0
a8918295-8606-459c-917d-46abb078305a,sunday,94,1.0
cd73e303-2645-4f25-aa52-406404e9282a,sunday,95,1.0
