uuid,day_type,quarter_hour_of_day,from,to,probability
82fa8bd4-d306-48e1-a653-7a595be4e97e,weekday,7,other,work,0.2
6ee1a514-1292-4674-8b2a-eddf504857b2,weekday,7,other,shopping,0.2
af788155-94dc-4ff3-87a9-96eb00b86622,weekday,7,other,leisure,0.2
c5789b42-82c9-4d06-8df6-b7890c186bd9,weekday,7,other,other,0.2
2fb08254-33c4-4cb2-87af-daaa75419657,weekday,8,home,home,0.45
62ee7df0-78db-4963-916f-5ddea67cfc47,weekday,8,home,work,0.5
d61095a2-ee07-4127-8322-752ac9a1ca87,weekday,8,home,shopping,0
8231b244-8080-43a1-be84-d7f70a141d5a,weekday,8,home,leisure,0
ac591a13-e19c-4376-9e80-6a6d81662310,weekday,8,home,other,0.05
8f0ea1a5-2498-4908-ac80-5ac1dfd4a3d4,weekday,8,work,home,0.2
7f543fd1-58e8-40cd-beb6-d521eb6d7044,weekday,8,work,work,0.2
c90788dc-9408-4338-b1a1-3ea31dc45ea4,weekday,8,work,shopping,0.2
759d9c7f-87a2-4984-a9df-30c02adeaf8f,weekday,8,work,leisure,0.2
20507aeb-b742-4917-92b4-bc0d1f42cfc8,weekday,8,work,other,0.2
ef0b0951-889a-4f51-93fa-2adac6204463,weekday,8,shopping,home,1.0
1e235f09-6941-48ee-86ba-4db8d3e92c6a,weekday,8,shopping,work,0
6379a8a1-9d88-4070-9f5e-69856df34c7d,weekday,8,shopping,shopping,0
6208907f-931d-4174-bdf7-6c65cf436415,weekday,8,shopping,leisure,0
13bef066-d558-4ba4-8ec4-34b194f2d152,weekday,8,shopping,other,0
e45a23e8-eb47-4f9d-ad9f-c92d4dc2469e,weekday,8,leisure,home,0.2
838d479d-67ec-42f9-86ab-1e19abfec4fe,weekday,8,leisure,work,0.2
f06651d0-217b-4911-9494-152a3f0e5274,weekday,8,leisure,shopping,0.2
78a0696c-3b45-4989-925c-b9c3c17ba2d3,weekday,8,leisure,leisure,0.2
ea64c424-e5e3-4c78-bd6d-fddd99b718ce,weekday,8,leisure,other,0.2
30632495-1f16-41b6-a6f3-5e6343392369,weekday,8,other,home,0.6666666666666666
762d95ca-43d0-4c5d-9b1c-ca282b417be9,weekday,8,other,work,0
a41ae9f7-757f-4d73-bb77-46051f03b213,weekday,8,other,shopping,0
48fdef50-5f07-40e7-98cc-d0e37434558f,weekday,8,other,leisure,0
51f22ad0-c697-49e6-9844-0b46218e1be2,weekday,8,other,other,0.3333333333333333
bdca8215-96dd-4a85-87b7-1cfb93a96464,weekday,9,home,home,0
17006605-226b-463d-b103-47587092af83,weekday,9,home,work,0.8461538461538461
97eb1138-e874-419e-828e-47dac4643767,weekday,9,home,shopping,0.07692307692307693
65c4933b-51a7-4bf7-8919-eda4394c1c91,weekday,9,home,leisure,0.07692307692307693
ad259fd1-bb8c-422e-93ee-75cf2bd2844a,weekday,9,home,other,0
4c9e96e5-9614-4079-8e75-09d19cd978d0,weekday,9,work,home,0.2
4a15ef48-4e89-44e6-a25b-421cea1f5f44,weekday,9,work,work,0.2
8ae71d07-4173-409e-a9e7-63ed8d4b78e0,weekday,9,work,shopping,0.2
e21179aa-3bda-43cb-8106-de9b4269565f,weekday,9,work,leisure,0.2
a5bccc6c-a341-4e1b-b022-c21d643f2014,weekday,9,work,other,0.2
bad8b835-bb86-457b-b44e-8b3ea8403377,weekday,9,shopping,home,0.2
64a9b435-2666-48ca-9093-50c104696cb8,weekday,9,shopping,work,0.2
b5827320-9a4b-4cda-8cf4-fa6cffa8d04e,weekday,9,shopping,shopping,0.2
a44b87b7-1234-4ff9-b477-83434ff08e82,weekday,9,shopping,leisure,0.2
7921da5f-ef63-421f-a7f7-f05a8b25d024,weekday,9,shopping,other,0.2
42b40e69-cc03-4f2f-a21b-f8f84cb6b717,weekday,9,leisure,home,0.2
840476cc-015b-4fa5-ad7e-7350b566ebce,weekday,9,leisure,work,0.2
91b6a6f9-2422-4057-8f03-891123901216,weekday,9,leisure,shopping,0.2
6b4b6421-4d46-4e86-a328-0a0d825a022c,weekday,9,leisure,leisure,0.2
8e06a154-3650-4beb-be67-4f22485e5601,weekday,9,leisure,other,0.2
e53fecd0-6734-4363-bcca-f6de6efc05e5,weekday,9,other,home,1.0
0f1eac84-2703-4209-a0f5-704c61ce5dd3,weekday,9,other,work,0
7756074d-3fee-4ac2-a594-bf60ee69b7ec,weekday,9,other,shopping,0
f033da8b-f024-4b6f-a935-466877e1daa2,weekday,9,other,leisure,0
19d1803e-ab48-4dd8-9a3c-dd2881cf57df,weekday,9,other,other,0
91d9981d-3097-4d69-876c-c3902a04cc49,weekday,10,home,home,0.15384615384615385
8323c8be-7360-4137-abf3-279337ab3201,weekday,10,home,work,0.6923076923076923
0c268682-0f48-435c-9ecb-5052ed1f321d,weekday,10,home,shopping,0
1a402a71-9f99-43f0-9e26-9cc7b03c697e,weekday,10,home,leisure,0.07692307692307693
ec189d8a-043b-48a9-852c-96c60a6004f1,weekday,10,home,other,0.07692307692307693
8f134f09-a306-425a-b425-1404a82c2515,weekday,10,work,home,0.2
db59f629-9f4b-415d-9496-e0f11b01ba0a,weekday,10,work,work,0.2
94459426-327f-4b24-acd9-95c93fea6b7d,weekday,10,work,shopping,0.2
1a9d43b5-08a8-467f-b58d-afc2a6088194,weekday,10,work,leisure,0.2
