uuid,day_type,minute_of_day,probability
17856971-adb4-4e1f-861c-842cef997c70,weekday,422,0.0001797855648535565
15d72c83-2259-42e7-82b6-077497e72e04,weekday,423,0.00014709728033472804
89d7dd12-0c3b-4819-be8d-dd698f078ded,weekday,424,3.268828451882845e-05
859df2b3-7db9-4ee2-abee-bee37db1f41e,weekday,425,0.006864539748953975
b589f10a-9f49-4e42-912c-e54c3e06fb92,weekday,426,0.00016344142259414225
7bd052d5-5bc9-4a77-a7ca-9754e478de20,weekday,427,4.903242677824268e-05
26d62cac-a290-4b62-892f-2ee1f2f2b80c,weekday,428,0.0001307531380753138
02abc8a3-3d26-438c-94f7-601cd653012a,weekday,429,0.00011440899581589958
58b01a71-16ed-4b32-98f2-67cfbcd097cb,weekday,430,0.013042625523012552
e2c9148f-dc9c-49bd-b251-5d0a1d14b6f3,weekday,431,4.903242677824268e-05
914afc05-1d04-469a-880b-bf760c15e96a,weekday,432,0.00027785041841004186
0ee6f2d6-b3a3-4674-98b1-09fa1e48fe92,weekday,433,0.00011440899581589958
b8fd0992-c9cc-41de-97c0-153be3070bb7,weekday,434,0.0001307531380753138
f8b02694-289b-4977-a770-6dfea9c02c49,weekday,435,0.024581589958158997
c76b9d92-fd36-46f0-8064-f1a0180332cb,weekday,436,0.00011440899581589958
a2674550-c66a-485b-aa88-6a544a6094f4,weekday,437,0.00022881799163179916
df7dcef9-fd87-4945-b7d2-46e8ea0b35f0,weekday,438,0.0001797855648535565
a3811189-d102-4f4f-93a2-f01069ae7f54,weekday,439,8.172071129707113e-05
fcdbf6cf-96f4-4b30-8b1e-542a1ad7b439,weekday,440,0.013467573221757323
4df2fc17-be4f-4322-bd69-96c4005699b9,weekday,441,3.268828451882845e-05
a92a281a-d169-4818-b30f-4cda6307aa99,weekday,442,8.172071129707113e-05
6e82817c-b764-47cc-9507-03e5cbfa868d,weekday,443,9.806485355648535e-05
bee4e605-7452-4e58-bcf6-b008b6bb3c72,weekday,444,0.00016344142259414225
786626e9-1c0d-4024-99e9-f41d410e6869,weekday,445,0.008613362970711297
1bcccfb6-bc67-414a-9401-5b28a96d96a7,weekday,446,0.00022881799163179916
e26b9ad8-320e-4c15-970f-4efec7382ab9,weekday,447,0.00011440899581589958
30d21f3e-50e6-4f6d-ac5f-2806495a81f9,weekday,448,0.0001961297071129707
53aca4ce-8a2e-4a70-993e-916ab55cbe75,weekday,449,8.172071129707113e-05
910e30b5-64a6-4bfe-b6b2-c74b3f5542c7,weekday,450,0.05382126046025105
1de88195-3ff0-4223-bf49-37c91da0b57e,weekday,451,0.00011440899581589958
c7d7dce3-316b-46c5-8c85-feecd7432be0,weekday,452,0.00016344142259414225
cc258ddb-b4b7-42e8-a87e-84a79381a546,weekday,453,9.806485355648535e-05
3c5fbe8f-4794-41de-aa23-24175c3cea38,weekday,454,0.0001961297071129707
49a03d83-2f01-43f7-b5e0-33d64caace19,weekday,455,0.008580674686192469
31ea8c23-07d7-4010-8f7b-d0f3fec404e1,weekday,456,3.268828451882845e-05
7b2d80f1-9c20-4ce2-a5e7-7cdaca08aed7,weekday,457,0.00014709728033472804
5c919a1f-27e7-473c-b436-2e400aa57936,weekday,458,0.0001961297071129707
46798397-f098-422f-98df-75dc6c86c027,weekday,459,6.53765690376569e-05
faffc0a8-9f4e-486b-aa61-e20dfea3a241,weekday,460,0.012601333682008367
59987ed4-3a2d-4353-bac9-0bb2f5d95b44,weekday,461,3.268828451882845e-05
8d3497b7-9fe9-48c5-969b-fd959653cc3e,weekday,462,8.172071129707113e-05
290520f9-4bf8-4267-a9cc-f59f723aa4bf,weekday,463,8.172071129707113e-05
96e4306e-fcb8-4f7b-813b-e849ef4086e3,weekday,464,8.172071129707113e-05
5c6c24d7-5405-4b94-98bf-b221b6eb1594,weekday,465,0.02482675209205021
b48e3d42-302a-47c9-9c52-4460e290f859,weekday,466,3.268828451882845e-05
8afce428-bc64-4a20-9d51-ba93bf96bd3d,weekday,467,1.6344142259414225e-05
d5ba6883-6480-40d9-8fae-845838b0051e,weekday,468,0.00016344142259414225
b00101fc-21f7-4a7a-878c-7c10227a2aa7,weekday,469,6.53765690376569e-05
8fd842bc-d4cb-4de6-a865-10931b39623b,weekday,470,0.012274450836820083
8bde45d2-8525-4683-b580-b3c19306a120,weekday,472,8.172071129707113e-05
6d312b52-b453-4106-9815-77ab948f8fe2,weekday,473,0.00011440899581589958
6f4f2901-e864-49c5-b786-60833cb1bbb1,weekday,474,3.268828451882845e-05
00604293-ce48-4490-9b01-aee89212d507,weekday,475,0.005328190376569037
3ce72a3f-c060-422b-a94a-3b2c7a85b793,weekday,476,4.903242677824268e-05
840d6a9a-67d7-4334-836a-4c18b4e28c79,weekday,477,1.6344142259414225e-05
efda0e06-5db1-4def-bbd1-54ca6b00ca0c,weekday,478,9.806485355648535e-05
e374106a-fcdf-4309-9bae-2474e11e93ff,weekday,479,3.268828451882845e-05
ab36a705-603e-46ed-bdf1-36ea5a02db88,weekday,480,0.04386767782426778
ce127cf5-5ee7-468d-9286-27b0a3380fcb,weekday,481,4.903242677824268e-05
62a37e7a-0dfb-4e0e-bbcb-fe1d75a7a964,weekday,482,0.0001307531380753138
cdfe8ded-ee53-44eb-a557-567cf1bc8134,weekday,483,9.806485355648535e-05
2391a832-8400-44da-bf1e-783e51a87c5a,weekday,484,0.0001307531380753138
f6770c67-9a04-44a7-95ec-2f1ae1c4b42a,weekday,485,0.004412918410041841
